city,records,top,top_std,rh,rh_std,twb,vel,met,clo,clo_std,tsv,tsv_std,tcv,tcv_std,tav,t_out,t_out_min,latitude,tsr,tn_op,p_dh,p_nv
HainanSanya,5,24.88,1.24,70.2,4.82,20.84,0.0,0.98,0.33,0.09,0.6,0.89,1.6,0.89,0.42,,21.0,18.25,0.8,23.38,0.0,1.0
GuangdongGuangzhou,997,23.88,1.08,52.94,9.58,17.4,0.1,1.0,0.86,0.22,-0.01,0.89,1.38,0.55,0.46,16.71,13.7,23.13,0.9,23.91,0.0,0.0
YunnanKunming,415,13.62,3.12,16.95,13.78,4.41,0.28,1.08,0.65,0.25,-1.15,1.11,1.42,0.8,0.69,,9.2,24.87,0.66,16.5,0.0,1.0
FujianFuzhou,7,18.1,1.53,67.43,5.8,14.23,0.0,0.89,0.35,0.17,-0.71,0.76,1.57,0.53,0.33,,11.3,26.08,0.86,19.89,0.0,1.0
FujianZhenjiang,2,22.9,2.26,74.5,0.71,19.55,0.0,0.9,0.31,0.33,-0.5,2.12,1.5,0.71,0.55,,10.0,26.1,0.5,24.15,0.0,1.0
FujianNanping,4,17.9,1.24,60.25,10.21,13.15,0.0,0.88,0.42,0.1,0.0,0.0,1.0,0.0,0.32,,10.1,26.64,1.0,17.9,0.0,1.0
HunanHengyang,1,16.9,,66.0,,12.9,0.0,0.9,0.66,,-1.0,,2.0,,-0.1,,6.3,26.89,1.0,19.4,0.0,1.0
HunanChangsha,1108,17.41,3.07,48.35,12.03,11.0,0.03,1.02,0.95,0.41,-0.4,0.75,2.82,0.69,0.41,,5.2,28.23,0.89,18.4,0.0,0.58
SichuanZigong,23,11.03,1.3,66.52,6.75,7.56,0.0,1.0,1.59,0.27,-0.22,1.17,1.61,0.72,0.64,,7.6,29.34,0.78,11.57,0.0,1.0
Lhasa,355,10.64,4.03,71.19,20.88,7.66,0.02,1.1,1.25,0.23,-1.1,1.13,,,,,-0.2,29.65,0.64,13.38,0.01,0.68
HubeiWuhan,526,12.91,3.92,47.98,12.98,7.07,0.09,1.07,1.88,0.49,-1.55,1.4,1.63,0.69,0.09,4.64,4.1,30.58,0.49,16.79,0.0,1.0
Shanghai,2131,20.84,4.49,52.26,12.97,14.3,0.03,1.1,0.88,0.51,-0.05,0.84,1.41,0.59,0.35,7.41,5.2,31.23,0.92,20.97,0.0,0.18
JiangsuChangzhou,144,20.51,1.45,41.18,4.92,13.6,0.01,1.02,1.15,0.22,0.35,0.83,1.19,0.43,0.81,6.4,3.9,31.78,0.88,19.65,0.0,0.0
HenanNanyang,251,12.22,4.04,66.37,13.4,8.6,0.0,1.0,1.31,0.27,-0.41,1.23,,,,,1.8,32.99,0.71,13.24,0.0,0.62
HenanPingdingshan,5,17.56,2.08,57.8,7.85,12.52,0.0,0.94,0.79,0.25,-0.8,0.45,1.8,0.45,0.24,,0.7,33.74,1.0,19.56,0.2,0.8
