index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
44815,44816,229,2021-01-01T00:00:00Z,winter,,35.0,female,,,22.3,,22.3,,22.49,22.69,22.6,,22.6,,75.5,0.03,,0.03,,1.1,0.86,1.1,1.1,1.1,1.1,-2.0,unacceptable,warmer,4.0,acceptable,no change,,0.0,1.0,,0.0,,19.35,50.83363428135979,25.0,0.0,5.0,0.0,5.0,17.6,ahmedabad,multifamily housing,naturally ventilated,5,2.1,20.552777777777777,india
44816,44817,229,2021-02-13T00:00:00Z,winter,,35.0,female,,,27.4,,27.4,,27.06,26.73,26.9,,26.9,,81.8,0.04,,0.04,,1.5,0.53,1.5,1.7,1.4,1.4,0.0,acceptable,no change,6.0,acceptable,no change,,0.0,1.0,,0.0,,22.77,36.11540678399615,29.5,1.09,29.8,1.0,26.2,,ahmedabad,multifamily housing,naturally ventilated,5,2.1,27.46666666666667,india
44817,44818,229,2021-03-13T00:00:00Z,winter,,35.0,female,,,30.2,,30.2,,30.63,31.64,30.6,,30.6,,84.7,1.3,,1.3,,1.48,0.4,1.0,2.1,1.4,1.4,1.0,acceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,29.5,,,0.69,15.1,28.7,ahmedabad,multifamily housing,naturally ventilated,5,2.1,27.816666666666663,india
44828,44829,230,2021-02-13T00:00:00Z,winter,,55.0,female,,,27.5,,27.5,,27.12,26.56,26.8,,26.8,,83.6,0.04,,0.04,,1.85,0.51,2.5,1.8,1.0,2.1,1.0,acceptable,no change,4.0,acceptable,more,,0.0,1.0,,0.0,,22.77,36.11540678399615,30.6,1.29,39.8,0.98,25.3,,ahmedabad,multifamily housing,naturally ventilated,15,2.1,27.46666666666667,india
44830,44831,230,2021-03-13T00:00:00Z,winter,,55.0,female,,,30.3,,30.3,,30.63,31.42,30.7,,30.7,,86.7,0.7,,0.7,,1.85,0.51,2.1,2.1,2.1,1.1,1.0,acceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,33.8,,,1.28,39.1,28.7,ahmedabad,multifamily housing,naturally ventilated,15,2.1,27.816666666666663,india
44831,44832,230,2021-03-13T00:00:00Z,winter,,25.0,female,,,30.9,,30.9,,31.21,31.95,31.2,,31.2,,84.6,1.22,,1.22,,1.23,0.4,0.8,0.8,2.5,0.8,2.0,unacceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,29.6,,,0.89,21.9,28.7,ahmedabad,multifamily housing,naturally ventilated,15,2.1,27.816666666666663,india
44832,44833,230,2021-04-03T00:00:00Z,winter,,55.0,female,,,30.9,,30.9,,31.35,32.02,31.4,,31.4,,86.1,0.38,,0.38,,1.5,0.37,2.5,1.5,1.0,1.0,2.0,unacceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,33.29,38.94014832883916,34.0,,,1.44,47.7,32.3,ahmedabad,multifamily housing,naturally ventilated,15,2.1,32.74722222222222,india
44833,44834,230,2021-04-03T00:00:00Z,winter,,25.0,female,,,31.8,,31.8,,32.08,32.5,32.1,,32.1,,84.0,0.43,,0.43,,1.3,0.37,1.1,1.1,1.5,1.5,2.0,unacceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,33.29,38.94014832883916,33.6,,,1.66,59.5,32.3,ahmedabad,multifamily housing,naturally ventilated,15,2.1,32.74722222222222,india
44838,44839,231,2021-01-01T00:00:00Z,winter,,45.0,female,,,25.6,,25.6,,24.83,23.67,24.2,,24.2,,77.0,0.05,,0.05,,1.95,0.62,1.4,2.1,2.5,1.8,-3.0,unacceptable,warmer,2.0,unacceptable,less,,0.0,0.0,,0.0,,19.35,50.83363428135979,29.0,0.88,21.5,0.57,11.7,17.6,ahmedabad,multifamily housing,naturally ventilated,8,2.1,20.552777777777777,india
44839,44840,231,2021-02-13T00:00:00Z,winter,,45.0,female,,,27.5,,27.5,,27.23,26.82,27.0,,27.0,,84.1,0.05,,0.05,,1.68,0.66,1.4,1.4,1.4,2.5,0.0,acceptable,cooler,4.0,unacceptable,more,,0.0,1.0,,0.0,,22.77,36.11540678399615,31.9,1.34,42.4,1.13,32.0,,ahmedabad,multifamily housing,naturally ventilated,8,2.1,27.46666666666667,india
44840,44841,231,2021-03-13T00:00:00Z,winter,,45.0,female,,,31.3,,31.3,,31.1,30.63,31.1,,31.1,,81.5,1.09,,1.09,,1.33,0.51,1.1,1.1,1.4,1.7,0.0,acceptable,cooler,2.0,acceptable,more,,1.0,1.0,,0.0,,27.94,37.499810024632616,31.3,,,1.09,30.1,28.7,ahmedabad,multifamily housing,naturally ventilated,8,2.1,27.816666666666663,india
44841,44842,231,2021-04-03T00:00:00Z,winter,,45.0,female,,,31.8,,31.8,,31.8,31.8,31.8,,31.8,,84.7,0.75,,0.75,,2.2,0.61,2.5,1.7,2.1,2.5,3.0,unacceptable,cooler,3.0,acceptable,more,,1.0,1.0,,0.0,,33.29,38.94014832883916,36.7,,,1.75,64.2,32.3,ahmedabad,multifamily housing,naturally ventilated,8,2.1,32.74722222222222,india
44850,44851,232,2021-01-01T00:00:00Z,winter,,35.0,female,,,26.3,,26.3,,25.28,23.75,24.9,,24.9,,82.8,0.17,,0.17,,1.1,0.61,1.1,1.1,1.1,1.1,0.0,acceptable,no change,6.0,acceptable,no change,,0.0,1.0,,0.0,,19.35,50.83363428135979,26.4,0.21,5.9,0.19,5.7,17.6,ahmedabad,multifamily housing,naturally ventilated,19,2.1,20.552777777777777,india
44851,44852,232,2021-01-01T00:00:00Z,winter,,35.0,female,,,25.7,,25.7,,25.06,24.43,24.8,,24.8,,82.2,0.05,,0.05,,1.1,0.66,1.1,1.1,1.1,1.1,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,1.0,,0.0,,19.35,50.83363428135979,26.9,0.51,10.5,0.51,10.5,17.6,ahmedabad,multifamily housing,naturally ventilated,19,2.1,20.552777777777777,india
44852,44853,232,2021-02-13T00:00:00Z,winter,,35.0,female,,,27.0,,27.0,,27.29,27.59,27.4,,27.4,,84.0,0.07,,0.07,,1.0,0.62,1.0,1.0,1.0,1.0,0.0,acceptable,no change,5.0,unacceptable,more,,0.0,1.0,,0.0,,22.77,36.11540678399615,29.3,1.04,27.8,1.04,27.8,,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.46666666666667,india
44853,44854,232,2021-02-13T00:00:00Z,winter,,45.0,male,,,26.9,,26.9,,27.3,27.7,27.4,,27.4,,80.7,0.1,,0.1,,1.0,0.65,1.0,1.0,1.0,1.0,0.0,acceptable,cooler,4.0,acceptable,no change,,0.0,1.0,,0.0,,22.77,36.11540678399615,29.3,0.98,25.3,0.98,25.3,,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.46666666666667,india
44854,44855,232,2021-02-13T00:00:00Z,winter,,35.0,female,,,27.1,,27.1,,27.59,28.07,27.8,,27.8,,79.8,0.05,,0.05,,1.2,0.76,1.0,1.8,1.0,1.0,0.0,acceptable,cooler,5.0,acceptable,no change,,0.0,1.0,,0.0,,22.77,36.11540678399615,31.0,1.37,43.7,1.37,43.7,,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.46666666666667,india
44855,44856,232,2021-03-13T00:00:00Z,winter,,35.0,female,,,30.8,,30.8,,31.29,32.01,31.3,,31.3,,84.4,0.48,,0.48,,1.05,0.66,1.0,1.0,1.1,1.1,0.0,acceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,33.1,,,1.8,66.8,28.7,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.816666666666663,india
44856,44857,232,2021-03-13T00:00:00Z,winter,,45.0,male,,,31.2,,31.2,,31.51,31.98,31.6,,31.6,,87.0,0.24,,0.24,,1.0,0.49,1.0,1.0,1.0,1.0,1.0,unacceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,34.2,,,2.15,83.1,28.7,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.816666666666663,india
44857,44858,232,2021-03-13T00:00:00Z,winter,,35.0,female,,,31.1,,31.1,,31.42,32.18,31.4,,31.4,,82.5,1.31,,1.31,,1.8,0.61,1.8,1.8,1.8,1.8,1.0,acceptable,cooler,3.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,37.499810024632616,33.8,,,1.34,42.2,28.7,ahmedabad,multifamily housing,naturally ventilated,19,2.1,27.816666666666663,india
44858,44859,232,2021-04-03T00:00:00Z,winter,,35.0,female,,,31.6,,31.6,,31.91,32.37,32.0,,32.0,,83.3,0.24,,0.24,,1.0,0.61,1.0,1.0,1.0,1.0,0.0,acceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,33.29,38.94014832883916,35.1,,,2.37,90.3,32.3,ahmedabad,multifamily housing,naturally ventilated,19,2.1,32.74722222222222,india
44859,44860,232,2021-04-03T00:00:00Z,winter,,45.0,male,,,30.9,,30.9,,31.39,32.12,31.4,,31.4,,85.8,0.49,,0.49,,1.0,0.54,1.0,1.0,1.0,1.0,0.0,unacceptable,cooler,2.0,acceptable,no change,,1.0,1.0,,0.0,,33.29,38.94014832883916,32.2,,,1.7,61.7,32.3,ahmedabad,multifamily housing,naturally ventilated,19,2.1,32.74722222222222,india
44860,44861,232,2021-04-03T00:00:00Z,winter,,35.0,female,,,30.8,,30.8,,31.13,31.9,31.2,,31.2,,85.6,0.68,,0.68,,1.0,0.4,1.0,1.0,1.0,1.0,0.0,acceptable,no change,1.0,acceptable,no change,,1.0,1.0,,0.0,,33.29,38.94014832883916,29.8,,,1.19,34.9,32.3,ahmedabad,multifamily housing,naturally ventilated,19,2.1,32.74722222222222,india
44867,44868,233,2021-03-13T00:00:00Z,winter,,25.0,male,,,31.5,,31.5,,31.92,32.35,32.2,,32.2,,88.6,0.02,,0.02,,1.03,0.64,0.8,1.1,1.1,1.1,0.0,acceptable,cooler,5.0,unacceptable,more,,0.0,0.0,,0.0,,27.94,37.499810024632616,36.9,,,2.81,97.9,28.7,ahmedabad,multifamily housing,naturally ventilated,7,2.1,27.816666666666663,india
44910,44911,236,2020-12-29T00:00:00Z,winter,,45.0,female,,,23.5,,23.5,,24.19,25.23,24.7,,24.7,,76.9,0.06,,0.06,,1.73,0.84,1.7,1.7,1.7,1.8,-2.0,acceptable,no change,4.0,acceptable,no change,,0.0,0.0,,0.0,,21.0,37.335680095847096,29.5,0.77,17.4,0.59,12.4,19.4,ahmedabad,multifamily housing,mixed mode,48,2.1,15.525,india
44911,44912,236,2020-12-29T00:00:00Z,winter,,55.0,male,,,22.6,,22.6,,22.67,22.74,22.7,,22.7,,77.8,0.05,,0.05,,1.05,0.42,1.0,1.0,1.0,1.2,-1.0,acceptable,warmer,5.0,unacceptable,more,,0.0,0.0,,0.0,,21.0,37.335680095847096,21.4,-1.12,31.5,-1.12,31.5,19.4,ahmedabad,multifamily housing,mixed mode,48,2.1,15.525,india
44912,44913,236,2020-12-29T00:00:00Z,winter,,45.0,female,,,24.6,,24.6,,23.76,22.91,23.4,,23.4,,81.9,0.05,,0.05,,1.0,0.61,1.0,1.0,1.0,1.0,-1.0,acceptable,warmer,5.0,acceptable,more,,0.0,0.0,,0.0,,21.0,37.335680095847096,24.0,-0.25,6.3,-0.25,6.3,19.4,ahmedabad,multifamily housing,mixed mode,48,2.1,15.525,india
44913,44914,236,2020-12-29T00:00:00Z,winter,,55.0,male,,,22.4,,22.4,,22.34,22.28,22.3,,22.3,,79.8,0.02,,0.02,,1.05,0.63,1.0,1.0,1.0,1.2,0.0,acceptable,no change,5.0,acceptable,more,,0.0,1.0,,0.0,,21.0,37.335680095847096,22.7,-0.61,12.9,-0.61,12.9,19.4,ahmedabad,multifamily housing,mixed mode,48,2.1,15.525,india
44914,44915,236,2020-12-29T00:00:00Z,winter,,25.0,male,,,21.9,,21.9,,21.9,21.9,21.9,,21.9,,79.0,0.07,,0.07,,1.0,0.42,1.0,1.0,1.0,1.0,-1.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,21.0,37.335680095847096,20.4,-1.63,58.1,-1.63,58.1,19.4,ahmedabad,multifamily housing,mixed mode,48,2.1,15.525,india
44915,44916,236,2021-01-22T00:00:00Z,winter,,45.0,female,,,25.4,,25.4,,25.71,26.18,25.9,,25.9,,79.6,0.09,,0.09,,1.78,0.6,1.8,1.8,1.8,1.7,0.0,acceptable,cooler,5.0,acceptable,more,,0.0,0.0,,0.0,,19.35,52.83287758598806,29.1,0.89,21.6,0.61,12.7,21.5,ahmedabad,multifamily housing,mixed mode,48,2.1,20.690277777777776,india
44916,44917,236,2021-01-22T00:00:00Z,winter,,55.0,male,,,25.4,,25.4,,25.78,26.35,25.9,,25.9,,81.6,0.21,,0.21,,1.4,0.51,1.0,1.8,1.8,1.0,1.0,acceptable,cooler,4.0,unacceptable,more,,1.0,1.0,,0.0,,19.35,52.83287758598806,27.1,0.35,7.6,0.17,5.6,21.5,ahmedabad,multifamily housing,mixed mode,48,2.1,20.690277777777776,india
44917,44918,236,2021-01-22T00:00:00Z,winter,,45.0,female,,,25.1,,25.1,,25.8,26.85,26.0,,26.0,,76.8,0.22,,0.22,,1.6,0.46,1.8,1.8,1.8,1.0,1.0,acceptable,cooler,5.0,acceptable,more,,0.0,0.0,,0.0,,19.35,52.83287758598806,26.7,0.4,8.4,0.09,5.2,21.5,ahmedabad,multifamily housing,mixed mode,48,2.1,20.690277777777776,india
44918,44919,236,2021-01-22T00:00:00Z,winter,,55.0,male,,,25.0,,25.0,,25.42,25.85,25.5,,25.5,,80.0,0.13,,0.13,,1.03,0.42,1.0,1.0,1.0,1.1,0.0,acceptable,warmer,4.0,unacceptable,more,,0.0,1.0,,0.0,,19.35,52.83287758598806,24.8,-0.27,6.5,-0.11,5.3,21.5,ahmedabad,multifamily housing,mixed mode,48,2.1,20.690277777777776,india
44919,44920,236,2021-01-22T00:00:00Z,winter,,25.0,male,,,25.5,,25.5,,25.95,26.64,26.0,,26.0,,75.8,0.36,,0.36,,1.2,0.68,1.2,1.2,1.4,1.0,1.0,acceptable,cooler,5.0,acceptable,more,,1.0,1.0,,0.0,,19.35,52.83287758598806,26.7,0.41,8.5,0.2,5.8,21.5,ahmedabad,multifamily housing,mixed mode,48,2.1,20.690277777777776,india
44920,44921,236,2021-02-16T00:00:00Z,winter,,45.0,female,,,27.4,,27.4,,27.66,27.91,27.8,,27.8,,78.4,0.03,,0.03,,1.55,0.62,1.0,1.7,1.7,1.8,0.0,acceptable,no change,5.0,acceptable,more,,0.0,1.0,,0.0,,22.77,52.93226592528468,30.8,1.31,40.7,1.2,35.4,,ahmedabad,multifamily housing,mixed mode,48,2.1,23.404166666666665,india
44921,44922,236,2021-02-16T00:00:00Z,winter,,55.0,male,,,27.9,,27.9,,28.08,28.34,28.1,,28.1,,82.5,0.34,,0.34,,1.23,0.53,1.2,1.2,1.0,1.5,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,1.0,,0.0,,22.77,52.93226592528468,29.0,0.93,23.1,0.61,12.7,,ahmedabad,multifamily housing,mixed mode,48,2.1,23.404166666666665,india
44922,44923,236,2021-02-16T00:00:00Z,winter,,45.0,female,,,27.8,,27.8,,27.88,28.01,27.9,,27.9,,81.3,0.29,,0.29,,1.55,0.51,1.0,1.7,1.7,1.8,1.0,acceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,22.77,52.93226592528468,30.3,1.11,30.8,0.67,14.6,,ahmedabad,multifamily housing,mixed mode,48,2.1,23.404166666666665,india
44923,44924,236,2021-02-16T00:00:00Z,winter,,55.0,male,,,27.7,,27.7,,28.03,28.51,28.1,,28.1,,83.8,0.27,,0.27,,1.23,0.62,1.0,1.2,1.2,1.5,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,1.0,,0.0,,22.77,52.93226592528468,30.5,1.1,30.7,0.85,20.1,,ahmedabad,multifamily housing,mixed mode,48,2.1,23.404166666666665,india
44924,44925,236,2021-02-16T00:00:00Z,winter,,25.0,male,,,27.7,,27.7,,28.02,28.5,28.1,,28.1,,79.8,0.25,,0.25,,1.08,0.53,1.0,1.0,1.2,1.1,0.0,acceptable,no change,5.0,acceptable,more,,1.0,1.0,,0.0,,22.77,52.93226592528468,28.3,0.87,21.0,0.71,15.5,,ahmedabad,multifamily housing,mixed mode,48,2.1,23.404166666666665,india
44925,44926,236,2021-03-05T00:00:00Z,winter,,45.0,female,,,31.4,,31.4,,31.57,31.81,31.6,,31.6,,81.6,0.3,,0.3,,1.5,0.42,1.4,1.4,1.4,1.8,1.0,acceptable,cooler,5.0,acceptable,more,,0.0,1.0,,0.0,,27.94,39.26878761712094,34.6,,,1.61,57.0,26.7,ahmedabad,multifamily housing,mixed mode,48,2.1,28.377777777777776,india
44926,44927,236,2021-03-05T00:00:00Z,winter,,55.0,male,,,31.8,,31.8,,32.14,32.65,32.2,,32.2,,83.4,0.33,,0.33,,1.25,0.42,1.2,1.2,1.5,1.1,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,39.26878761712094,34.6,,,1.88,71.1,26.7,ahmedabad,multifamily housing,mixed mode,48,2.1,28.377777777777776,india
44927,44928,236,2021-03-05T00:00:00Z,winter,,45.0,female,,,32.0,,32.0,,32.07,32.17,32.1,,32.1,,81.9,0.14,,0.14,,1.8,0.57,1.8,1.8,1.8,1.8,3.0,unacceptable,cooler,3.0,unacceptable,more,,0.0,1.0,,0.0,,27.94,39.26878761712094,36.5,,,2.03,77.9,26.7,ahmedabad,multifamily housing,mixed mode,48,2.1,28.377777777777776,india
44928,44929,236,2021-03-05T00:00:00Z,winter,,55.0,male,,,31.9,,31.9,,32.13,32.47,32.2,,32.2,,86.6,0.23,,0.23,,1.3,0.4,1.2,1.2,1.4,1.4,0.0,acceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,27.94,39.26878761712094,35.6,,,2.06,79.5,26.7,ahmedabad,multifamily housing,mixed mode,48,2.1,28.377777777777776,india
44929,44930,236,2021-04-09T00:00:00Z,winter,,45.0,female,,,28.8,,28.8,,29.37,30.22,29.4,,29.4,,79.0,0.43,,0.43,,1.05,0.42,1.0,1.0,1.0,1.2,0.0,acceptable,no change,4.0,acceptable,less,,1.0,0.0,,0.0,,33.29,28.850774135447548,27.5,1.0,26.0,0.63,13.2,33.5,ahmedabad,multifamily housing,mixed mode,48,2.1,33.31666666666667,india
44930,44931,236,2021-04-09T00:00:00Z,winter,,55.0,male,,,28.8,,28.8,,29.37,30.22,29.4,,29.4,,79.0,0.43,,0.43,,1.1,0.27,1.0,1.0,1.2,1.2,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,0.0,,0.0,,33.29,28.850774135447548,26.3,0.7,15.4,0.33,7.2,33.5,ahmedabad,multifamily housing,mixed mode,48,2.1,33.31666666666667,india
44931,44932,236,2021-04-09T00:00:00Z,winter,,45.0,female,,,28.8,,28.8,,29.23,29.87,29.3,,29.3,,84.9,0.32,,0.32,,1.35,0.42,1.4,1.4,1.4,1.2,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,0.0,,0.0,,33.29,28.850774135447548,30.7,1.3,40.1,0.87,21.0,33.5,ahmedabad,multifamily housing,mixed mode,48,2.1,33.31666666666667,india
44932,44933,236,2021-04-09T00:00:00Z,winter,,55.0,male,,,27.6,,27.6,,27.6,27.6,27.6,,27.6,,82.8,0.32,,0.32,,1.05,0.4,1.0,1.0,1.0,1.2,-1.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,33.29,28.850774135447548,25.8,0.31,6.9,0.16,5.5,33.5,ahmedabad,multifamily housing,mixed mode,48,2.1,33.31666666666667,india
