index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
45924,45925,357,2020-03-01T00:00:00Z,winter,,25.0,female,,,21.7,,21.7,,21.92,22.25,22.1,,22.1,,65.8,0.05,,0.05,,2.5,0.57,2.5,2.5,2.5,2.5,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,1.0,,0.0,,23.26,72.4246123738837,26.2,0.5,10.2,-0.07,5.1,20.4,delhi,multifamily housing,mixed mode,13,2.1,20.18055555555556,india
45925,45926,357,2020-03-01T00:00:00Z,winter,,25.0,male,,,22.8,,22.8,,22.8,22.8,22.8,,22.8,,63.5,0.17,,0.17,,1.05,1.36,1.0,1.0,1.1,1.1,-1.0,unacceptable,warmer,4.0,acceptable,less,,0.0,1.0,,0.0,,23.26,72.4246123738837,27.9,0.41,8.5,0.4,8.4,20.4,delhi,multifamily housing,mixed mode,13,2.1,20.18055555555556,india
45934,45935,357,2020-12-20T00:00:00Z,winter,,25.0,female,,,17.4,,17.4,,17.92,18.44,18.2,,18.2,,59.9,0.03,,0.03,,1.35,1.16,1.4,1.4,1.2,1.4,-1.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,64.8122446270918,23.8,-0.44,9.0,-0.44,9.0,11.5,delhi,multifamily housing,mixed mode,13,2.1,12.959722222222222,india
45935,45936,357,2020-12-20T00:00:00Z,winter,,55.0,male,,,18.9,,18.9,,18.58,18.27,18.5,,18.5,,54.7,0.09,,0.09,,1.13,1.23,1.0,1.2,1.2,1.1,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,64.8122446270918,23.5,-0.49,10.0,-0.49,10.0,11.5,delhi,multifamily housing,mixed mode,13,2.1,12.959722222222222,india
45936,45937,357,2020-12-20T00:00:00Z,winter,,25.0,male,,,17.6,,17.6,,18.22,18.84,18.6,,18.6,,58.6,0.02,,0.02,,1.05,1.01,1.0,1.0,1.2,1.0,0.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,64.8122446270918,21.3,-1.13,31.7,-1.13,31.7,11.5,delhi,multifamily housing,mixed mode,13,2.1,12.959722222222222,india
45937,45938,358,2020-03-14T00:00:00Z,winter,,55.0,female,,,23.2,,23.2,,22.85,22.5,22.7,,22.7,,68.1,0.05,,0.05,,1.1,0.98,1.1,1.1,1.1,1.1,-2.0,acceptable,warmer,5.0,acceptable,no change,,0.0,1.0,,0.0,,23.26,83.51456056068659,26.2,0.26,6.4,0.26,6.4,20.2,delhi,multifamily housing,mixed mode,7,2.1,19.094444444444445,india
45938,45939,358,2020-03-14T00:00:00Z,winter,,55.0,male,,,22.1,,22.1,,22.42,22.75,22.6,,22.6,,67.5,0.03,,0.03,,1.25,0.45,1.0,1.7,1.2,1.1,-2.0,acceptable,no change,6.0,acceptable,no change,,0.0,1.0,,0.0,,23.26,83.51456056068659,21.6,-0.68,14.7,-0.68,14.7,20.2,delhi,multifamily housing,mixed mode,7,2.1,19.094444444444445,india
45939,45940,358,2020-03-14T00:00:00Z,winter,,45.0,male,,,22.1,,22.1,,22.41,22.88,22.7,,22.7,,68.7,0.03,,0.03,,2.1,0.7,2.5,2.5,1.7,1.7,-1.0,acceptable,no change,5.0,acceptable,more,,0.0,1.0,,0.0,,23.26,83.51456056068659,27.2,0.49,10.0,0.18,5.7,20.2,delhi,multifamily housing,mixed mode,7,2.1,19.094444444444445,india
45946,45947,358,2020-11-22T00:00:00Z,winter,,55.0,female,,,20.5,,20.5,,20.79,21.08,21.0,,21.0,,50.8,0.01,,0.01,,1.58,0.73,1.0,2.5,1.8,1.0,-2.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,57.223991331363855,23.4,-0.28,6.6,-0.27,6.5,17.7,delhi,multifamily housing,mixed mode,7,2.1,15.416666666666666,india
45947,45948,358,2020-11-22T00:00:00Z,winter,,55.0,male,,,20.4,,20.4,,20.8,21.21,21.1,,21.1,,51.2,0.01,,0.01,,1.05,0.75,1.0,1.0,1.2,1.0,-3.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,57.223991331363855,21.8,-1.02,26.9,-1.02,26.9,17.7,delhi,multifamily housing,mixed mode,7,2.1,15.416666666666666,india
45948,45949,358,2020-12-20T00:00:00Z,winter,,55.0,female,,,16.7,,16.7,,16.89,17.08,17.0,,17.0,,59.8,0.02,,0.02,,1.5,1.1,1.4,1.8,1.4,1.4,-3.0,unacceptable,warmer,3.0,acceptable,no change,,0.0,1.0,,0.0,,14.23,64.8122446270918,23.2,-0.54,11.1,-0.5,10.2,11.5,delhi,multifamily housing,mixed mode,7,2.1,12.959722222222222,india
45950,45951,358,2021-01-10T00:00:00Z,winter,,55.0,female,,,14.8,,14.8,,15.7,16.6,16.6,,16.6,,78.6,0.0,,0.0,,1.05,1.05,1.0,1.0,1.0,1.2,-3.0,unacceptable,warmer,2.0,acceptable,no change,,0.0,0.0,,0.0,,13.05,87.51786845184748,19.4,-1.61,57.1,-1.61,57.1,15.2,delhi,multifamily housing,mixed mode,7,2.1,11.031944444444443,india
45951,45952,358,2021-01-10T00:00:00Z,winter,,55.0,male,,,13.0,,13.0,,14.55,16.1,16.1,,16.1,,82.7,0.0,,0.0,,1.25,1.5,1.0,1.4,1.4,1.2,-3.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,13.05,87.51786845184748,23.0,-0.66,14.1,-0.66,14.1,15.2,delhi,multifamily housing,mixed mode,7,2.1,11.031944444444443,india
45952,45953,358,2021-01-10T00:00:00Z,winter,,45.0,male,,,15.6,,15.6,,16.06,16.76,16.6,,16.6,,72.9,0.01,,0.01,,1.7,1.17,1.4,1.8,1.8,1.8,-1.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,13.05,87.51786845184748,24.6,-0.35,7.6,-0.37,7.9,15.2,delhi,multifamily housing,mixed mode,7,2.1,11.031944444444443,india
