index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
46321,46322,417,2020-03-08T00:00:00Z,winter,,55.0,female,,,27.6,,27.6,,27.36,27.0,27.1,,27.1,,70.4,0.02,,0.02,,1.95,0.66,1.0,2.5,2.5,1.8,0.0,acceptable,cooler,5.0,unacceptable,no change,,0.0,0.0,,0.0,,27.5,74.2282957387822,31.5,1.47,49.3,1.12,31.2,24.4,kolkata,multifamily housing,mixed mode,3,2.1,25.1,india
46367,46368,427,2020-03-08T00:00:00Z,winter,,25.0,female,,,26.6,,26.6,,27.11,28.29,27.1,,27.1,,67.0,1.06,,1.06,,2.05,0.42,2.5,2.5,2.5,0.7,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,0.0,,0.0,,27.5,74.2282957387822,26.1,,,-0.18,5.7,24.4,kolkata,multifamily housing,mixed mode,2,2.1,25.1,india
46368,46369,427,2020-03-08T00:00:00Z,winter,,35.0,male,,,26.6,,26.6,,27.2,28.59,27.1,,27.1,,66.8,1.54,,1.54,,1.0,0.58,1.1,1.1,1.1,0.7,0.0,acceptable,cooler,5.0,unacceptable,more,,1.0,0.0,,0.0,,27.5,74.2282957387822,23.3,,,-0.66,14.2,24.4,kolkata,multifamily housing,mixed mode,2,2.1,25.1,india
46472,46473,445,2020-03-15T00:00:00Z,winter,,55.0,female,,,30.7,,30.7,,31.12,32.09,31.1,,31.1,,53.8,1.21,,1.21,,1.0,0.51,0.8,0.8,1.2,1.2,0.0,acceptable,cooler,5.0,acceptable,no change,,1.0,0.0,,0.0,,27.5,66.00540930324104,26.9,,,0.56,11.6,26.6,kolkata,multifamily housing,mixed mode,5,2.1,25.08333333333333,india
46473,46474,445,2020-03-15T00:00:00Z,winter,,45.0,male,,,29.9,,29.9,,30.12,30.64,30.1,,30.1,,50.4,1.38,,1.38,,1.0,0.39,0.8,0.8,1.2,1.2,-1.0,acceptable,cooler,5.0,acceptable,no change,,1.0,1.0,,0.0,,27.5,66.00540930324104,24.6,,,-0.16,5.6,26.6,kolkata,multifamily housing,mixed mode,5,2.1,25.08333333333333,india
46474,46475,445,2020-03-15T00:00:00Z,winter,,45.0,female,,,30.7,,30.7,,31.12,32.09,31.1,,31.1,,53.8,1.21,,1.21,,1.0,0.51,0.8,0.8,1.2,1.2,0.0,acceptable,cooler,5.0,unacceptable,less,,1.0,0.0,,0.0,,27.5,66.00540930324104,26.9,,,0.56,11.6,26.6,kolkata,multifamily housing,mixed mode,5,2.1,25.08333333333333,india
46475,46476,445,2020-03-15T00:00:00Z,winter,,35.0,female,,,30.6,,30.6,,30.78,31.06,30.8,,30.8,,54.7,0.4,,0.4,,1.0,0.63,0.8,0.8,1.2,1.2,0.0,acceptable,cooler,5.0,acceptable,no change,,1.0,0.0,,0.0,,27.5,66.00540930324104,29.2,,,1.23,36.5,26.6,kolkata,multifamily housing,mixed mode,5,2.1,25.08333333333333,india
46477,46478,446,2020-03-15T00:00:00Z,winter,,45.0,female,,,28.8,,28.8,,28.89,29.02,28.9,,28.9,,59.4,0.35,,0.35,,1.8,0.5,1.8,1.8,1.8,1.8,0.0,acceptable,no change,5.0,acceptable,no change,,1.0,0.0,,0.0,,27.5,66.00540930324104,29.9,1.41,46.1,0.68,14.8,26.6,kolkata,multifamily housing,mixed mode,4,2.1,25.08333333333333,india
46478,46479,446,2020-03-15T00:00:00Z,winter,,45.0,male,,,28.5,,28.5,,28.27,28.04,28.1,,28.1,,55.8,0.01,,0.01,,1.1,0.42,1.4,0.8,1.0,1.2,1.0,acceptable,cooler,3.0,unacceptable,more,,1.0,0.0,,0.0,,27.5,66.00540930324104,27.3,0.99,25.7,0.99,25.7,26.6,kolkata,multifamily housing,mixed mode,4,2.1,25.08333333333333,india
46479,46480,446,2020-03-15T00:00:00Z,winter,,25.0,male,,,27.9,,27.9,,28.35,29.42,28.3,,28.3,,56.0,1.41,,1.41,,1.38,0.67,1.5,1.5,1.5,1.0,1.0,acceptable,cooler,3.0,acceptable,more,,1.0,0.0,,0.0,,27.5,66.00540930324104,26.7,,,0.12,5.3,26.6,kolkata,multifamily housing,mixed mode,4,2.1,25.08333333333333,india
